"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","28-Feb-2025","122.5624747","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jan-2025","130.2491216","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Dec-2024","127.9166088","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Nov-2024","107.1490657","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Oct-2024","109.2905512","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Sep-2024","111.5907669","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Aug-2024","111.4782328","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jul-2024","106.3478079","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Jun-2024","108.4632019","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-May-2024","113.9684279","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Apr-2024","105.9348945","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Mar-2024","115.7833426","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","29-Feb-2024","127.0265785","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jan-2024","131.4664896","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Dec-2023","132.4513302","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Nov-2023","112.2503746","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Oct-2023","109.07913","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Sep-2023","114.146525","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Aug-2023","114.358865","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jul-2023","103.7436793","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Jun-2023","108.6447913","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-May-2023","106.1241218","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Apr-2023","100.5634118","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Mar-2023","113.213402","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","28-Feb-2023","125.9343806","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jan-2023","130.0293028","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Dec-2022","128.4608758","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Nov-2022","113.04798","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Oct-2022","115.7828538","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Sep-2022","111.7277225","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Aug-2022","114.1192593","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jul-2022","109.6500761","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Jun-2022","131.9513204","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-May-2022","129.1659631","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Apr-2022","132.5980598","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Mar-2022","153.7192239","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","28-Feb-2022","142.6646578","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jan-2022","137.7316227","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Dec-2021","129.8630122","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Nov-2021","118.8143126","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Oct-2021","117.4213235","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Sep-2021","115.0053066","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Aug-2021","114.3038529","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jul-2021","112.2248415","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Jun-2021","118.251371","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-May-2021","108.1708465","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Apr-2021","115.3870824","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Mar-2021","121.7185765","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","28-Feb-2021","127.1687009","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jan-2021","126.44852","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Dec-2020","123.2406649","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Nov-2020","112.1291906","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Oct-2020","111.4803514","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Sep-2020","106.909355","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Aug-2020","95.81295647","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jul-2020","107.326752","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Jun-2020","95.3643872","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-May-2020","81.28568538","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Apr-2020","66.44725088","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Mar-2020","99.30293421","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","29-Feb-2020","121.3830344","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jan-2020","121.755431","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Dec-2019","113.5902423","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Nov-2019","104.6620433","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Oct-2019","109.9960739","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Sep-2019","103.0560226","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Aug-2019","105.5345281","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jul-2019","109.0565733","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Jun-2019","108.3410464","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-May-2019","121.9616211","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Apr-2019","122.2302826","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Mar-2019","126.7123317","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","28-Feb-2019","120.340854","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jan-2019","130.537712","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Dec-2018","108.1474972","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Nov-2018","108.7206791","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Oct-2018","117.5795774","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Sep-2018","106.3742805","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Aug-2018","105.7955192","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jul-2018","107.0524089","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Jun-2018","100.5631733","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-May-2018","109.044513","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Apr-2018","118.0876108","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Mar-2018","126.7263791","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","28-Feb-2018","118.3342332","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jan-2018","124.5784875","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Dec-2017","113.8088498","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Nov-2017","101.7103592","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Oct-2017","107.8387471","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Sep-2017","103.1322175","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Aug-2017","108.357507","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jul-2017","105.8831883","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Jun-2017","101.955001","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-May-2017","104.7952005","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Apr-2017","107.3096068","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Mar-2017","123.4979099","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","28-Feb-2017","113.3549977","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jan-2017","110.651532","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Dec-2016","108.3878542","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Nov-2016","100.147196","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Oct-2016","98.16784053","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","30-Sep-2016","93.72849123","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Aug-2016","96.98941318","Index","Normal",""
"Quantum Index Series of Selected Large-scale Manufacturing Items (base 2015-16)","TS_GP_RL_LSM1516_M.LSM000160000","QIM - Overall","31-Jul-2016","91.70136303","Index","Normal",""
